 Month Name ,Year,Segment,Country, Product , Discount Band ,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts, Sales,COGS,Profit
 January ,2022,Government,Canada, Carretera , None ,1456,3,20,29120,0,29120,14560,14560
 January ,2022,Government,Germany, Carretera , None ,1162,3,20,23240,0,23240,11620,11620
 January ,2022,Government,Mexico, Velo , None ,1433,120,7,10031,0,10031,7165,2866
 January ,2022,Government,France, Paseo , Low ,3668,10,7,25676,276.15,25399.85,18326.0101,7073.839899
 January ,2022,Small Business,France, Paseo , Low ,2264,10,300,679200,21910.5,657289.5,564681.701,92607.79897
 January ,2022,Channel Partners,Germany, VTT , Low ,2107,250,12,25284,892.44,24391.56,6286.484536,18105.07546
 January ,2022,Government,Canada, Paseo , Low ,4208,10,7,29456,1190.28,28265.72,21031.04167,7234.678333
 January ,2022,Government,Germany, Paseo , Medium ,1330,10,7,9310,480.2,8829.8,6638.947368,2190.852632
 January ,2022,Government,France, Montana , Medium ,1370,5,350,479500,24228.75,455271.25,356001.5789,99269.67105
 January ,2022,Midmarket,United States of America, Velo , Medium ,499,120,15,7485,416.25,7068.75,4960.526316,2108.223684
 January ,2022,Midmarket,Mexico, Velo , Medium ,2603,120,15,39045,2145.75,36899.25,25894.21053,11005.03947
 January ,2022,Government,United States of America, Carretera , Medium ,961,3,20,19220,1341,17879,9510.106383,8368.893617
 January ,2022,Enterprise,France, Amarilla , Medium ,1888,260,125,236000,14906.25,221093.75,225797.8723,-4704.12234
 January ,2022,Channel Partners,Mexico, Montana , Medium ,2176,5,12,26112,1965.6,24146.4,6490.967742,17655.43226
 January ,2022,Channel Partners,Canada, VTT , Medium ,2887,250,12,34644,2725.38,31918.62,8580.274194,23338.34581
 January ,2022,Small Business,Mexico, Paseo , Medium ,2462,10,300,738600,69255,669345,612953.2967,56391.7033
 January ,2022,Government,Mexico, Paseo , Medium ,2296,10,350,803600,76135.5,727464.5,593848.5714,133615.9286
 January ,2022,Channel Partners,United States of America, VTT , Medium ,1819,250,12,21828,2112.48,19715.52,5416.351648,14299.16835
